ID,Player,Team,GP,G,A,TP,PPG,PIM,PM
1,Alex Limoges (LW/C),Penn State University,39,23,27,50,1.28,10,23
2,Taro Hirose (LW),Michigan State University,36,15,35,50,1.39,12,14
3,Cale Makar (D),UMass,41,16,33,49,1.20,31,32
4,Adam Fox (D),Harvard University,33,9,39,48,1.45,14,23
5,Patrick Newell (W/C),St. Cloud State University,39,21,26,47,1.21,8,35
6,Joseph Duszak (D),Mercyhurst University,37,16,31,47,1.27,42,8
7,Jacob Pritchard (LW),UMass,41,16,31,47,1.15,8,8
8,Blake Christensen (LW),American International College,41,16,31,47,1.15,22,2
9,Josh Wilkins (C/W),Providence College,40,20,26,46,1.15,10,9
10,Rem Pitlick (C/RW),University of Minnesota,38,21,24,45,1.18,30,4
11,Nico Sturm (C/LW),Clarkson University,39,14,31,45,1.15,29,23
12,Ryan Kuffner (LW),Princeton University,31,22,22,44,1.42,8,2
13,Max Johnson (C),Bowling Green State University,41,19,24,43,1.05,31,11
14,Evan Barratt (C/LW),Penn State University,32,16,27,43,1.34,55,19
15,Ludwig Stenlund (C),Niagara University,41,23,19,42,1.02,14,-11
16,Marc Michaelis (LW/C),Minnesota State University (Mankato),42,19,23,42,1.00,25,22
17,Liam Folkes (C),Penn State University,39,18,24,42,1.08,8,20
18,Mitchell Chaffee (RW),UMass,40,18,24,42,1.05,33,21
19,Odeen Tufto (C),Quinnipiac University,38,15,27,42,1.11,16,12
20,Blake Lizotte (C/LW),St. Cloud State University,37,14,28,42,1.14,28,28
21,Diego Cuglietta (C),Lake Superior State University,38,25,16,41,1.08,18,24
22,Tyler Sheehy (C),University of Minnesota,38,12,29,41,1.08,26,3
23,Brandon Kruse (LW),Bowling Green State University,41,10,31,41,1.00,30,15
24,Troy Loggins (LW),Northern Michigan University,39,23,17,40,1.03,46,9
25,Dylan McLaughlin (C),Canisius College,37,19,21,40,1.08,4,-6
26,Robby Jackson (LW/C),St. Cloud State University,37,19,21,40,1.08,18,22
27,Haralds Egle (C/RW),Clarkson University,39,19,21,40,1.03,16,12
28,Brandon Biro (C/LW),Penn State University,37,16,24,40,1.08,4,15
29,John Leonard (LW/RW),UMass,40,16,24,40,1.00,24,14
30,Noah Delmas (D),Niagara University,41,15,25,40,0.98,14,-1
31,Parker Tuomie (RW),Minnesota State University (Mankato),36,14,26,40,1.11,52,14
32,Alex Tonge (C/LW),Robert Morris University,39,19,20,39,1.00,14,-4
33,Chase Priskie (D),Quinnipiac University,36,17,22,39,1.08,23,18
34,Jack Dugan (LW/RW),Providence College,41,10,29,39,0.95,48,5
35,Colt Conrad (C),Western Michigan University,37,11,27,38,1.03,14,5
36,Nate Sucese (LW),Penn State University,39,19,18,37,0.95,24,18
37,Patrick Khodorenko (C),Michigan State University,36,18,19,37,1.03,30,6
38,Derek Barach (C),Mercyhurst University,38,15,22,37,0.97,28,1
39,Max Véronneau (RW),Princeton University,31,13,24,37,1.19,2,0
40,David Cotton (C),Boston College,39,23,13,36,0.92,20,-8
41,Mason Jobst (C/LW),Ohio State University,36,17,19,36,1.00,20,8
42,Joel Farabee (LW/RW),Boston University,37,17,19,36,0.97,57,4
43,Liam Finlay (RW/C),University of Denver,41,16,20,36,0.88,20,16
44,Joe Snively (LW),Yale University,33,15,21,36,1.09,17,5
45,Luke Santerno (F),Bentley University,37,11,25,36,0.97,26,9
46,Abbott Girduckis (RW/C),RIT (Rochester Inst. of Tech.),38,11,25,36,0.95,4,-2
47,Mitchell Fossier (LW),University of Maine,36,8,28,36,1.00,14,12
48,Jérémy Davies (D),Northeastern University,37,8,28,36,0.97,41,8
49,Drew Callin (C/RW),Bentley University,37,10,25,35,0.95,22,12
50,Jimmy Schuldt (D),St. Cloud State University,39,10,25,35,0.90,18,24
51,Dalton MacAfee (D),Army (U.S. Military Academy),39,10,25,35,0.90,36,-3
52,Adam Rockwood (C),Northern Michigan University,38,7,28,35,0.92,6,5
53,Philip Beaulieu (D),Northern Michigan University,38,6,29,35,0.92,26,16
54,Johnny Walker (RW),Arizona State University,32,23,11,34,1.06,34,8
55,Mason Morelli (LW/C),University of Nebraska-Omaha,36,19,15,34,0.94,12,-16
56,Connor Ford (C),Bowling Green State University,40,17,17,34,0.85,16,9
57,Josh Passolt (LW),Western Michigan University,36,16,18,34,0.94,14,14
58,Mitch Lewandowski (LW),Michigan State University,36,16,18,34,0.94,26,5
59,Morgan Barron (C/W),Cornell University,36,15,19,34,0.94,26,9
60,Trey Bradley (C),Colorado College,41,15,19,34,0.83,10,-4
61,Brandon Duhaime (RW/LW),Providence College,42,11,23,34,0.81,53,15
62,Fredrik Olofsson (LW/C),University of Nebraska-Omaha,36,10,24,34,0.94,12,-14
63,Bobby Nardella (D),University of Notre Dame,38,8,26,34,0.89,20,5
64,Jack Ahcan (D),St. Cloud State University,39,6,28,34,0.87,38,30
65,Max Humitz (C/LW),Lake Superior State University,36,16,17,33,0.92,25,14
66,Parker MacKay (RW),University of Minnesota-Duluth,40,16,17,33,0.83,14,19
67,Anthony Nellis (LW/C),Lake Superior State University,38,15,18,33,0.87,28,11
68,Brandon Hawkins (RW/LW),Northeastern University,39,12,21,33,0.85,23,6
69,Dante Fabbro (D),Boston University,38,7,26,33,0.87,39,-3
70,Quinn Hughes (D),University of Michigan,32,5,28,33,1.03,16,-2
71,Justin Richards (C),University of Minnesota-Duluth,42,12,20,32,0.76,18,20
72,Cole Maier (C/LW),Union College,39,9,23,32,0.82,24,10
73,William Lockwood (RW),University of Michigan,36,16,15,31,0.86,24,8
74,Jonathan Desbiens (LW),Bentley University,35,15,16,31,0.89,46,12
75,Brent Gates (C),University of Minnesota,38,13,18,31,0.82,4,1
76,Reilly Walsh (D),Harvard University,33,12,19,31,0.94,12,-2
77,Luke Lynch (C),Robert Morris University,40,10,21,31,0.78,52,-1
78,Justin Baudry (D),Bemidji State University,38,9,22,31,0.82,34,7
79,Ryan Poehling (C/LW),St. Cloud State University,36,8,23,31,0.86,34,12
80,Adam Brubacher (D),RIT (Rochester Inst. of Tech.),38,7,24,31,0.82,22,5
81,Kasper Björkqvist (RW/LW),Providence College,42,17,13,30,0.71,20,13
82,Hugh McGing (LW/C),Western Michigan University,37,16,14,30,0.81,55,2
83,Jake Hamacher (LW),RIT (Rochester Inst. of Tech.),38,14,16,30,0.79,10,1
84,Brinson Pasichnuk (D),Arizona State University,35,13,17,30,0.86,28,25
85,Westin Michaud (LW/C),Colorado College,41,13,17,30,0.73,30,13
86,Cal Burke (C/RW),University of Notre Dame,36,12,18,30,0.83,8,9
87,Josh Lammon (C),Mercyhurst University,38,12,18,30,0.79,46,5
88,Charlie Gerard (C/RW),Minnesota State University (Mankato),42,12,18,30,0.71,22,15
89,Mitchell Vanderlaan (LW),Cornell University,36,11,19,30,0.83,8,5
90,Liam Pecararo (LW/RW),Northeastern University,37,11,19,30,0.81,10,7
91,Craig Martin (LW/C),Quinnipiac University,38,11,19,30,0.79,16,14
92,Tanner Laczynski (C),Ohio State University,27,10,20,30,1.11,14,2
93,Dylan Malmquist (LW),University of Notre Dame,40,10,20,30,0.75,6,11
94,Mathias Emilio Pettersen (C/LW),University of Denver,40,6,24,30,0.75,16,10
95,Jarid Lukosevicius (RW),University of Denver,40,19,10,29,0.73,20,20
96,Erik Brown (LW),RIT (Rochester Inst. of Tech.),37,18,11,29,0.78,23,-11
97,Chase Pearson (C/LW),University of Maine,34,16,13,29,0.85,34,21
98,Easton Brodzinski (RW/LW),St. Cloud State University,39,16,13,29,0.74,26,11
99,Ryan Walker (LW),Union College,39,15,14,29,0.74,6,12
100,Scott Conway (C),Providence College,42,15,14,29,0.69,38,8
101,Devin Brosseau (C/RW),Clarkson University,38,14,15,29,0.76,28,4
102,Chase Berger (C),Penn State University,39,14,15,29,0.74,8,8
103,Nikita Pavlychev (C),Penn State University,39,14,15,29,0.74,57,2
104,Marc Del Gaizo (D),UMass,41,13,16,29,0.71,26,31
105,Zach Evancho (W),Army (U.S. Military Academy),39,10,19,29,0.74,49,-20
106,Casey Dornbach (C/W),Harvard University,33,7,22,29,0.88,10,1
107,Scott Perunovich (D),University of Minnesota-Duluth,39,3,26,29,0.74,32,9
108,Quin Foreman (RW),Dartmouth College,34,13,15,28,0.82,8,2
109,Bobby Trivigno (LW),UMass,39,13,15,28,0.72,31,9
110,Tyler Madden (C),Northeastern University,36,12,16,28,0.78,8,5
111,Austin Alger (F),Canisius College,37,12,16,28,0.76,24,-8
112,Tanner Jago (D),Bentley University,37,9,19,28,0.76,18,17
113,Cooper Zech (D),Ferris State University,36,8,20,28,0.78,12,3
114,Mason Bergh (RW/LW),Colorado College,41,7,21,28,0.68,42,-12
115,Cole Hults (D),Penn State University,39,6,22,28,0.72,24,19
116,Brandon Fortunato (D),Quinnipiac University,26,5,23,28,1.08,2,15
117,Ioannis Kaldis (D),Cornell University,36,4,24,28,0.78,20,1
118,Jacob Bryson (D),Providence College,42,4,24,28,0.67,8,17
119,Austin Magera (C),Sacred Heart University,36,14,13,27,0.75,38,5
120,Karl El-Mir (C/LW),University of Connecticut,34,13,14,27,0.79,16,6
121,Austin Rueschhoff (F),Western Michigan University,36,13,14,27,0.75,48,6
122,Ryan Lohin (C),UMass-Lowell,33,12,15,27,0.82,12,7
123,Kyle Stephan (RW),American International College,37,11,16,27,0.73,12,8
124,Taylor Ward (RW),University of Nebraska-Omaha,35,9,18,27,0.77,18,-8
125,Eric Cooley (RW/LW),Niagara University,41,9,18,27,0.66,23,-4
126,Nolan Walker (C),St. Cloud State University,36,8,19,27,0.75,4,6
127,Jared Spooner (LW),Minnesota State University (Mankato),41,7,20,27,0.66,41,10
128,Ian Mitchell (D),University of Denver,39,6,21,27,0.69,18,18
129,Mikey Anderson (D),University of Minnesota-Duluth,40,6,21,27,0.68,18,22
130,Tobias Fladeby (LW/RW),American International College,40,18,8,26,0.65,23,3
131,Drew O'Connor (LW/RW),Dartmouth College,34,17,9,26,0.76,14,0
132,Ethen Frank (RW/C),Western Michigan University,34,15,11,26,0.76,29,1
133,Sean Dhooghe (RW),University of Wisconsin,37,15,11,26,0.70,19,-8
134,Brannon McManus (C/RW),University of Minnesota,36,14,12,26,0.72,14,4
135,Liam Morgan (RW),Union College,38,14,12,26,0.68,23,16
136,Cole Guttman (C/RW),University of Denver,41,14,12,26,0.63,18,16
137,Nick Hutchison (C/LW),Canisius College,34,13,13,26,0.76,47,3
138,Patrick Curry (C/LW),Boston University,38,13,13,26,0.68,32,2
139,Justin Kendall (F),Niagara University,41,12,14,26,0.63,6,1
140,Alex Riche (C),Princeton University,30,11,15,26,0.87,14,-5
141,Tommy Marchin (LW),Brown University,34,11,15,26,0.76,29,-6
142,Jake Lucchini (C/LW),Michigan Tech,38,11,15,26,0.68,14,-6
143,Josh Melnick (C),Miami University (Ohio),32,10,16,26,0.81,45,-2
144,Sammy Walker (C/RW),University of Minnesota,37,10,16,26,0.70,16,6
145,Jordan Kawaguchi (C),University of North Dakota,37,10,16,26,0.70,21,-6
146,Zach Jordan (RW),University of Nebraska-Omaha,36,9,17,26,0.72,42,-17
147,Michael Louria (RW),Robert Morris University,40,9,17,26,0.65,10,-14
148,Martin Mellberg (RW),American International College,41,9,17,26,0.63,20,0
149,Seamus Malone (C),University of Wisconsin,37,8,18,26,0.70,58,10
150,Aaron Thow (D),Clarkson University,39,8,18,26,0.67,20,10
151,Cameron Lee (D),Western Michigan University,37,7,19,26,0.70,53,10
152,Logan Hutsko (RW/C),Boston College,36,6,20,26,0.72,10,-7
153,Jáchym Kondelík (C/W),University of Connecticut,33,4,22,26,0.79,12,1
154,Alexander Wilkinson (D),Army (U.S. Military Academy),34,4,22,26,0.76,2,-2
155,Alec Rauhauser (D),Bowling Green State University,41,4,22,26,0.63,34,21
156,Bryan Yoon (D),Colorado College,41,3,23,26,0.63,19,-1
157,Nick Swaney (RW),University of Minnesota-Duluth,40,15,10,25,0.63,0,17
158,Lukas Craggs (LW),Bowling Green State University,35,13,12,25,0.71,118,18
159,Alex Whelan (RW),Quinnipiac University,38,13,12,25,0.66,14,15
160,Cam Donaldson (C),Cornell University,34,12,13,25,0.74,6,16
161,Jake Slaker (C),University of Michigan,35,11,14,25,0.71,2,-2
162,Gordie Green (C/RW),Miami University (Ohio),38,11,14,25,0.66,12,-8
163,Will Graber (C),Dartmouth College,33,10,15,25,0.76,36,0
164,Matthew Whittaker (RW),Mercyhurst University,35,10,15,25,0.71,24,2
165,Corey Mackin (C),Ferris State University,36,10,15,25,0.69,14,-7
166,Colin Saccoman (D),Lake Superior State University,37,10,15,25,0.68,57,17
167,Ethan De Jong (RW/LW),Quinnipiac University,38,10,15,25,0.66,8,12
168,Wyatt Kalynuk (D),University of Wisconsin,37,9,16,25,0.68,32,0
169,Ludvig Larsson (C),Penn State University,39,9,16,25,0.64,22,-4
170,Linus Weissbach (LW),University of Wisconsin,27,8,17,25,0.93,10,2
171,Tyce Thompson (RW/C),Providence College,42,8,17,25,0.60,20,12
172,Gage Torrel (F),Lake Superior State University,38,7,18,25,0.66,37,20
173,Connor Mackey (D),Minnesota State University (Mankato),42,7,18,25,0.60,55,15
174,Brennan Kapcheck (D),American International College,37,5,20,25,0.68,25,12
175,Ian Scheid (D),Minnesota State University (Mankato),42,5,20,25,0.60,22,16
176,Matt Koch (D),Air Force Academy,35,4,21,25,0.71,20,-3
177,Lewis Zerter-Gossage (RW/C),Harvard University,33,18,6,24,0.73,6,4
178,Dalton Hunter (RW/LW),Mercyhurst University,30,11,13,24,0.80,14,8
179,Chase Gresock (F),Merrimack College,34,11,13,24,0.71,26,-12
180,Nick Pastujov (C/LW),University of Michigan,36,11,13,24,0.67,56,-1
181,Liam Blackburn (F),University of New Hampshire,35,10,14,24,0.69,22,1
182,Grant Jozefek (RW),Northeastern University,38,10,14,24,0.63,26,1
183,Jack Drury (C),Harvard University,32,9,15,24,0.75,14,10
184,Steven Jandric (LW),University of Alaska-Fairbanks,36,9,15,24,0.67,71,-9
185,Peter Krieger (C/LW),University of Minnesota-Duluth,41,9,15,24,0.59,41,12
186,Nate Kallen (D),Ferris State University,36,7,17,24,0.67,6,2
187,Jimmy Mazza (D),Canisius College,36,6,18,24,0.67,49,-9
188,Jack Jacome (RW/LW),Clarkson University,39,6,18,24,0.62,8,4
189,Brogan Rafferty (D),Quinnipiac University,38,4,20,24,0.63,60,0
190,Dennis Cesana (D),Michigan State University,36,3,21,24,0.67,14,-1
191,Andrew Peeke (D),University of Notre Dame,40,3,21,24,0.60,24,-2
192,Zach Solow (C/RW),Northeastern University,39,15,8,23,0.59,20,4
193,Josh Dunne (C/LW),Clarkson University,32,14,9,23,0.72,14,14
194,Ryan Dmowski (LW/C),UMass-Lowell,37,14,9,23,0.62,16,5
195,Wyatt Bongiovanni (C/LW),Quinnipiac University,38,14,9,23,0.61,20,5
196,Ara Nazarian (LW/C),University of New Hampshire,33,12,11,23,0.70,20,-4
197,Kyle Haak (F),Air Force Academy,35,12,11,23,0.66,20,-6
198,Anthony Rinaldi (LW/RW),Union College,37,11,12,23,0.62,10,-2
199,Trevor Gooch (C/W),Colorado College,41,11,12,23,0.56,37,-6
200,Angus Crookshank (LW/RW),University of New Hampshire,36,10,13,23,0.64,6,3
201,Brayden Gelsinger (LW),Lake Superior State University,38,10,13,23,0.61,40,7
202,Dawson DiPietro (LW),Western Michigan University,33,9,14,23,0.70,28,-1
203,Julius Mattila (C),Boston College,34,9,14,23,0.68,6,0
204,Jason Cotton (C),Sacred Heart University,37,9,14,23,0.62,6,9
205,Brett Supinski (C/RW),Union College,38,9,14,23,0.61,16,-5
206,Noah Cates (LW),University of Minnesota-Duluth,40,9,14,23,0.58,33,12
207,Bobby McMann (C/LW),Colgate University,36,8,15,23,0.64,32,-15
208,Steven Ipri (F),Mercyhurst University,36,8,15,23,0.64,39,-6
209,Daniel Mantenuto (C),Robert Morris University,40,8,15,23,0.58,12,-11
210,Anthony Croston (F),Arizona State University,34,7,16,23,0.68,54,11
211,Nick Prkusic (F),Robert Morris University,38,7,16,23,0.61,34,-4
212,Jackson Cressey (F),Princeton University,31,6,17,23,0.74,8,-5
213,Luke Edgerton (F),Niagara University,39,6,17,23,0.59,22,8
214,Cameron Heath (D),Canisius College,37,4,19,23,0.62,38,4
215,Shawn McBride (C/D),American International College,41,4,19,23,0.56,10,-1
216,Jacob Hayhurst (C/LW),RPI (Rensselaer Polytech. Inst.),29,3,20,23,0.79,27,-6
217,Lukas Kälble (D),Lake Superior State University,37,2,21,23,0.62,8,17
218,Dominic Franco (RW/C),Army (U.S. Military Academy),38,14,8,22,0.58,62,-8
219,Kenny Hausinger (C),UMass-Lowell,37,13,9,22,0.59,12,-2
220,Michael Graham (F),University of Notre Dame,39,12,10,22,0.56,12,3
221,Evan Feno (F),Air Force Academy,32,11,11,22,0.69,13,-3
222,Charlie Combs (LW),Bemidji State University,38,11,11,22,0.58,24,-6
223,Alden Dupuis (F),RIT (Rochester Inst. of Tech.),35,10,12,22,0.63,10,16
224,Jack Adams (RW/C),Union College,38,10,12,22,0.58,29,13
225,Sebastian Vidmar (LW),Union College,39,10,12,22,0.56,30,-2
226,Dakota Joshua (LW/C),Ohio State University,32,9,13,22,0.69,67,4
227,Mitch Collett (C),College of the Holy Cross,35,9,13,22,0.63,26,-7
228,Carson Meyer (RW/LW),Ohio State University,36,9,13,22,0.61,26,4
229,Denis Smirnov (RW/LW),Penn State University,37,8,14,22,0.59,6,2
230,Stephen Baylis (LW/RW),Bowling Green State University,37,8,14,22,0.59,27,11
231,Jack Rathbone (D),Harvard University,33,7,15,22,0.67,8,13
232,Eric Israel (D),Robert Morris University,33,7,15,22,0.67,40,0
233,Brady Keeper (D),University of Maine,36,7,15,22,0.61,58,-8
234,Jake Gaudet (C),UMass,41,7,15,22,0.54,41,26
235,Derek Daschke (D),Miami University (Ohio),38,6,16,22,0.58,8,-2
236,K'Andre Miller (D),University of Wisconsin,26,5,17,22,0.85,18,7
237,Matt Miller (D),Ohio State University,36,5,17,22,0.61,8,2
238,Ashton Calder (F),Lake Superior State University,37,5,17,22,0.59,32,12
239,Marc Johnstone (RW/LW),Sacred Heart University,37,5,17,22,0.59,34,-2
240,Seamus Donohue (D),Michigan Tech,38,1,21,22,0.58,49,-5
241,Brian Halonen (LW/RW),Michigan Tech,35,12,9,21,0.60,26,1
242,Dallas Gerads (C/LW),Minnesota State University (Mankato),37,12,9,21,0.57,36,8
243,Brendan Hamblet (F),Bentley University,31,11,10,21,0.68,18,15
244,Cam Morrison (LW),University of Notre Dame,32,11,10,21,0.66,12,-2
245,Ronnie Hein (C),Ohio State University,35,11,10,21,0.60,22,3
246,Matt Hoover (LW),Canisius College,35,11,10,21,0.60,24,-6
247,Shane Bowers (C/W),Boston University,37,11,10,21,0.57,25,0
248,Joel Kocur (LW/C),American International College,39,11,10,21,0.54,61,5
249,Ryan Steele (F),Sacred Heart University,37,10,11,21,0.57,16,0
250,Ben Copeland (C),Colorado College,41,9,12,21,0.51,12,4
251,Max Kaufman (F),University of Vermont,29,8,13,21,0.72,12,9
252,Tristan Mullin (C/LW),Cornell University,34,8,13,21,0.62,34,9
253,Adam Brady (C/LW),Bemidji State University,37,8,13,21,0.57,8,-7
254,William Fällström (C/LW),Quinnipiac University,38,8,13,21,0.55,18,13
255,James Anderson (RW),Mercyhurst University,38,8,13,21,0.55,27,-7
256,Julian Napravnik (RW),Minnesota State University (Mankato),41,8,13,21,0.51,6,12
257,Spenser Young (D),Providence College,41,8,13,21,0.51,18,18
258,Tyler Busch (C),Arizona State University,34,7,14,21,0.62,71,-1
259,Brett Gruber (C),Arizona State University,35,7,14,21,0.60,18,4
260,Johnny Coughlin (D),College of the Holy Cross,36,7,14,21,0.58,32,-5
261,Grant Hutton (D),Miami University (Ohio),37,7,14,21,0.57,29,-5
262,Lincoln Griffin (LW),Northeastern University,39,7,14,21,0.54,22,20
263,Max Gildon (D),University of New Hampshire,31,6,15,21,0.68,45,-7
264,Ruslan Iskhakov (C/LW),University of Connecticut,32,6,15,21,0.66,20,1
265,Mike O'Leary (C),University of Notre Dame,39,6,15,21,0.54,18,5
266,Anthony Vincent (RW/C),College of the Holy Cross,35,5,16,21,0.60,39,4
267,Dean Stewart (D),University of Nebraska-Omaha,36,5,16,21,0.58,33,-5
268,Connor Sodergren (F),UMass-Lowell,37,5,16,21,0.57,34,13
269,Brandon Estes (D),Union College,39,5,16,21,0.54,10,9
270,Tommy Novak (C),University of Minnesota,38,4,17,21,0.55,4,-14
271,Kris Myllari (D),Penn State University,39,4,17,21,0.54,12,19
272,Charlie Kelleher (RW),University of New Hampshire,30,3,18,21,0.70,0,0
